X,Y,fid,label,x,y,z
477818.299,5631957.618,"1",mof_rts_00008,477818.299,5631957.618,287.516
477575.241,5631524.438,"2",mof_rts_00016,477575.241,5631524.438,350.088
477727.355,5631273.011,"3",mof_rts_00012,477727.355,5631273.011,308.381
477344.288,5631622.979,"4",mof_rts_00010,477344.288,5631622.979,374.958
476881.19,5631858.872,"5",mof_rts_00015,476881.19,5631858.872,373.796
476878.002,5632067.834,"6",mof_rts_00004,476878.002,5632067.834,333.765
476892.957,5632316.835,"7",mof_rts_00009,476892.957,5632316.835,292.103
477215.02,5632151.098,"8",mof_rts_00003,477215.02,5632151.098,320.883
477326.108,5632057.867,"9",mof_rts_00007,477326.108,5632057.867,340.657
477326.641,5632548.646,"10",mof_rts_00011,477326.641,5632548.646,287.381
477601.515,5632056.713,"11",mof_rts_00001,477601.515,5632056.713,281.192
476908.914,5631223.999,"12",mof_rts_00013,476908.914,5631223.999,348.288
477111.889,5631049.878,"13",mof_rts_00002,477111.889,5631049.878,331.202
